train_loss,train_loss_aux,epoch_time,val_loss,acc_top1,acc_top5
3.711068868637085,2.623190402984619,10.7,2.6317412853240967,0.192,0.505
3.4542040824890137,2.423349380493164,10.0,2.5923242568969727,0.215,0.554
3.321852207183838,2.3270153999328613,9.5,2.5010619163513184,0.228,0.581
3.2133662700653076,2.2481343746185303,9.7,2.508856773376465,0.261,0.617
3.1156105995178223,2.157383680343628,9.5,2.396893262863159,0.267,0.653
3.018435001373291,2.0903778076171875,10.3,2.3539886474609375,0.294,0.68
2.8894598484039307,2.0172760486602783,9.9,2.142925262451172,0.356,0.732
2.774301290512085,1.9392768144607544,9.8,2.1594910621643066,0.351,0.732
2.6798179149627686,1.8902969360351562,9.6,2.124262571334839,0.354,0.728
2.601706027984619,1.8317278623580933,9.3,2.071509599685669,0.38,0.738
