train_loss,train_loss_aux,epoch_time,val_loss,acc_top1,acc_top5
2.6974384784698486,1.8549069166183472,12.0,2.1154205799102783,0.373,0.728
2.596006155014038,1.7908375263214111,13.7,2.051004648208618,0.401,0.758
2.539083242416382,1.7535213232040405,12.8,2.065269947052002,0.371,0.706
2.461941719055176,1.702545404434204,14.5,1.9567921161651611,0.395,0.773
2.404803514480591,1.6667776107788086,12.1,1.9101377725601196,0.415,0.774
2.370217800140381,1.6411186456680298,12.2,1.9369620084762573,0.416,0.762
2.293431282043457,1.5876761674880981,12.4,1.9006555080413818,0.426,0.763
2.2428512573242188,1.5583518743515015,12.4,1.961484432220459,0.431,0.767
2.1926403045654297,1.5224225521087646,12.3,1.8531581163406372,0.435,0.784
2.1210641860961914,1.4718867540359497,13.0,1.807422161102295,0.469,0.792
